last,first,name,height,DOB,homeTown,year,team,city,state
Smolinsky,Steve,Steve Smolinsky,5-10,5/22/1986,"Plymouth, Massachusetts",2008,BU,Plymouth,Massachusetts
Strait,Brian,Brian Strait,6-1,1/4/1988,"Waltham, Massachusetts",2008,BU,Waltham,Massachusetts
Warsofsky,David,David Warsofsky,5-9,5/30/1990,"Marshfield, Massachusetts",2008,BU,Marshfield,Massachusetts
Bonino,Nick,Nick Bonino,6-1,4/20/1988,"Unionville, Connecticut",2008,BU,Unionville,Connecticut
Cohen,Zach,Zach Cohen,6-3,2/6/1987,"Schaumburg, Illinois",2008,BU,Schaumburg,Illinois
Connolly,Chris,Chris Connolly,5-9,7/23/1987,"Duluth, Minnesota",2008,BU,Duluth,Minnesota
Gaudet,Ross,Ross Gaudet,6-0,8/26/1988,"Burlington, Massachusetts",2008,BU,Burlington,Massachusetts
Gilroy,Kevin,Kevin Gilroy,6-0,7/8/1987,"North Bellmore, New York",2008,BU,North Bellmore,New York
Glass,Andrew,Andrew Glass,5-11,7/14/1989,"Wrentham, Massachusetts",2008,BU,Wrentham,Massachusetts
Higgins,Chris,Chris Higgins,5-11,4/30/1986,"Lynnfield, Massachusetts",2008,BU,Lynnfield,Massachusetts
Lawrence,Jason,Jason Lawrence,5-10,2/2/1987,"Saugus, Massachusetts",2008,BU,Saugus,Massachusetts
McCarthy,John,John McCarthy,6-1,8/9/1986,"Andover, Massachusetts",2008,BU,Andover,Massachusetts
Pereira,Joe,Joe Pereira,5-10,3/28/1987,"West Haven, Connecticut",2008,BU,West Haven,Connecticut
Popko,Luke,Luke Popko,5-10,3/29/1988,"Skillman, New Jersey",2008,BU,Skillman,New Jersey
Saponari,Vinny,Vinny Saponari,6-0,2/15/1990,"Powder Springs, Georgia",2008,BU,Powder Springs,Georgia
Saponari,Victor,Victor Saponari,5-10,11/15/1987,"Powder Springs, Georgia",2008,BU,Powder Springs,Georgia
Trivino,Corey,Corey Trivino,6-1,1/12/1990,"Toronto, Ontario",2008,BU,Toronto,Ontario
Wilson,Colin,Colin Wilson,6-2,10/20/1989,"Winnipeg, Manitoba",2008,BU,Winnipeg,Manitoba
Yip,Brandon,Brandon Yip,6-1,4/25/1985,"Maple Ridge, British Columbia",2008,BU,Maple Ridge,British Columbia
Kraus,Adam,Adam Kraus,6-3,7/25/1987,"Irving, Texas",2008,BU,Irving,Texas
Millan,Kieran,Kieran Millan,6-0,8/31/1989,"Edmonton, Alberta",2008,BU,Edmonton,Alberta
Rollheiser,Grant,Grant Rollheiser,6-4,7/24/1989,"Chilliwack, British Columbia",2008,BU,Chilliwack,British Columbia
Cohen,Colby,Colby Cohen,6-3,1/29/1989,"Villanova, Pennsylvania",2009,BU,Villanova,Pennsylvania
Escobedo,Sean,Sean Escobedo,6-0,10/27/1990,"Bayside, New York",2009,BU,Bayside,New York
Gryba,Eric,Eric Gryba,6-4,4/18/1988,"Saskatoon, Saskatchewan",2009,BU,Saskatoon,Saskatchewan
Nicastro,Max,Max Nicastro,6-3,3/2/1990,"Thousand Oaks, California",2009,BU,Thousand Oaks,California
Rosen,Ben,Ben Rosen,5-11,1/7/1989,"Syosset, New York",2009,BU,Syosset,New York
Ruikka,Ryan,Ryan Ruikka,6-0,3/31/1988,"Chelsea, Michigan",2009,BU,Chelsea,Michigan
Shattenkirk,Kevin,Kevin Shattenkirk,6-0,1/29/1989,"New Rochelle, New York",2009,BU,New Rochelle,New York
Warsofsky,David,David Warsofsky,5-9,5/30/1990,"Marshfield, Massachusetts",2009,BU,Marshfield,Massachusetts
Bonino,Nick,Nick Bonino,6-1,4/20/1988,"Unionville, Connecticut",2009,BU,Unionville,Connecticut
Chiasson,Alex,Alex Chiasson,6-4,10/1/1990,"St. Augustin, Quebec",2009,BU,St. Augustin,Quebec
Cohen,Zach,Zach Cohen,6-3,2/6/1987,"Schaumburg, Illinois",2009,BU,Schaumburg,Illinois
Connolly,Chris,Chris Connolly,5-9,7/23/1987,"Duluth, Minnesota",2009,BU,Duluth,Minnesota
Courtnall,Justin,Justin Courtnall,6-3,5/21/1989,"Victoria, British Columbia",2009,BU,Victoria,British Columbia
Gaudet,Ross,Ross Gaudet,6-0,8/26/1988,"Burlington, Massachusetts",2009,BU,Burlington,Massachusetts
Gilroy,Kevin,Kevin Gilroy,6-0,7/8/1987,"North Bellmore, New York",2009,BU,North Bellmore,New York
Glass,Andrew,Andrew Glass,5-11,7/14/1989,"Wrentham, Massachusetts",2009,BU,Wrentham,Massachusetts
Megan,Wade,Wade Megan,6-1,7/22/1990,"Canton, New York",2009,BU,Canton,New York
Pereira,Joe,Joe Pereira,5-10,3/28/1987,"West Haven, Connecticut",2009,BU,West Haven,Connecticut
Popko,Luke,Luke Popko,5-10,3/29/1988,"Skillman, New Jersey",2009,BU,Skillman,New Jersey
Santana,Ryan,Ryan Santana,6-1,11/22/1988,"Yorba Linda, California",2009,BU,Yorba Linda,California
Saponari,Vinny,Vinny Saponari,6-0,2/15/1990,"Powder Springs, Georgia",2009,BU,Powder Springs,Georgia
Saponari,Victor,Victor Saponari,5-10,11/15/1987,"Powder Springs, Georgia",2009,BU,Powder Springs,Georgia
Trivino,Corey,Corey Trivino,6-1,1/12/1990,"Toronto, Ontario",2009,BU,Toronto,Ontario
Kraus,Adam,Adam Kraus,6-3,7/25/1987,"Irving, Texas",2009,BU,Irving,Texas
Millan,Kieran,Kieran Millan,6-0,8/31/1989,"Edmonton, Alberta",2009,BU,Edmonton,Alberta
Rollheiser,Grant,Grant Rollheiser,6-4,7/24/1989,"Chilliwack, British Columbia",2009,BU,Chilliwack,British Columbia
Clendening,Adam,Adam Clendening,6-0,10/26/1992,"Wheatfield, New York",2010,BU,Wheatfield,New York
Escobedo,Sean,Sean Escobedo,6-0,10/27/1990,"Bayside, New York",2010,BU,Bayside,New York
MacGregor,Patrick,Patrick MacGregor,6-4,7/12/1990,"Hamden, Connecticut",2010,BU,Hamden,Connecticut
Nicastro,Max,Max Nicastro,6-2,3/2/1990,"Thousand Oaks, California",2010,BU,Thousand Oaks,California
Noonan,Garrett,Garrett Noonan,6-2,1/28/1991,"Norfolk, Massachusetts",2010,BU,Norfolk,Massachusetts
Rosen,Ben,Ben Rosen,5-11,1/7/1989,"Syosset, New York",2010,BU,Syosset,New York
Ruikka,Ryan,Ryan Ruikka,6-0,3/31/1988,"Chelsea, Michigan",2010,BU,Chelsea,Michigan
Warsofsky,David,David Warsofsky,5-9,5/30/1990,"Marshfield, Massachusetts",2010,BU,Marshfield,Massachusetts
Chiasson,Alex,Alex Chiasson,6-3,10/1/1990,"St. Augustin, Quebec",2010,BU,St. Augustin,Quebec
Ciss�,Yasin,Yasin Ciss�,6-3,3/11/1992,"Westmount, Quebec",2010,BU,Westmount,Quebec
Connolly,Chris,Chris Connolly,5-9,7/23/1987,"Duluth, Minnesota",2010,BU,Duluth,Minnesota
Courtnall,Justin,Justin Courtnall,6-3,5/21/1989,"Victoria, British Columbia",2010,BU,Victoria,British Columbia
Coyle,Charlie,Charlie Coyle,6-2,3/2/1992,"East Weymouth, Massachusetts",2010,BU,East Weymouth,Massachusetts
Gaudet,Ross,Ross Gaudet,6-0,8/26/1988,"Burlington, Massachusetts",2010,BU,Burlington,Massachusetts
Gill,Sahir,Sahir Gill,5-10,4/21/1992,"Terrace, British Columbia",2010,BU,Terrace,British Columbia
Gilroy,Kevin,Kevin Gilroy,6-0,7/8/1987,"North Bellmore, New York",2010,BU,North Bellmore,New York
Glass,Andrew,Andrew Glass,5-11,7/14/1989,"Wrentham, Massachusetts",2010,BU,Wrentham,Massachusetts
Megan,Wade,Wade Megan,6-1,7/22/1990,"Canton, New York",2010,BU,Canton,New York
Nieto,Matt,Matt Nieto,5-11,11/5/1992,"Long Beach, California",2010,BU,Long Beach,California
Pereira,Joe,Joe Pereira,5-10,3/28/1987,"West Haven, Connecticut",2010,BU,West Haven,Connecticut
Ronan,Matt,Matt Ronan,5-11,1/2/1990,"Woburn, Massachusetts",2010,BU,Woburn,Massachusetts
Santana,Ryan,Ryan Santana,6-1,11/22/1988,"Yorba Linda, California",2010,BU,Yorba Linda,California
Trivino,Corey,Corey Trivino,6-1,1/12/1990,"Toronto, Ontario",2010,BU,Toronto,Ontario
Kraus,Adam,Adam Kraus,6-3,7/25/1987,"Irving, Texas",2010,BU,Irving,Texas
Millan,Kieran,Kieran Millan,6-0,8/31/1989,"Edmonton, Alberta",2010,BU,Edmonton,Alberta
Rollheiser,Grant,Grant Rollheiser,6-4,7/24/1989,"Chilliwack, British Columbia",2010,BU,Chilliwack,British Columbia
Clendening,Adam,Adam Clendening,6-0,10/26/1992,"Wheatfield, New York",2011,BU,Wheatfield,New York
Escobedo,Sean,Sean Escobedo,6-0,10/27/1990,"Bayside, New York",2011,BU,Bayside,New York
MacGregor,Patrick,Patrick MacGregor,6-4,7/12/1990,"Hamden, Connecticut",2011,BU,Hamden,Connecticut
Nicastro,Max,Max Nicastro,6-2,3/2/1990,"Thousand Oaks, California",2011,BU,Thousand Oaks,California
Noonan,Garrett,Garrett Noonan,6-2,1/28/1991,"Norfolk, Massachusetts",2011,BU,Norfolk,Massachusetts
Privitera,Alexx,Alexx Privitera,5-11,1/18/1993,"Old Tappan, New Jersey",2011,BU,Old Tappan,New Jersey
Rosen,Ben,Ben Rosen,5-11,1/7/1989,"Syosset, New York",2011,BU,Syosset,New York
Ruikka,Ryan,Ryan Ruikka,6-0,3/31/1988,"Chelsea, Michigan",2011,BU,Chelsea,Michigan
Chiasson,Alex,Alex Chiasson,6-3,10/1/1990,"St. Augustin, Quebec",2011,BU,St. Augustin,Quebec
Ciss�,Yasin,Yasin Ciss�,6-3,3/11/1992,"Westmount, Quebec",2011,BU,Westmount,Quebec
Connolly,Chris,Chris Connolly,5-9,7/23/1987,"Duluth, Minnesota",2011,BU,Duluth,Minnesota
Courtnall,Justin,Justin Courtnall,6-3,5/21/1989,"Victoria, British Columbia",2011,BU,Victoria,British Columbia
Gaudet,Ross,Ross Gaudet,6-0,8/26/1988,"Burlington, Massachusetts",2011,BU,Burlington,Massachusetts
Gill,Sahir,Sahir Gill,5-10,4/21/1992,"Terrace, British Columbia",2011,BU,Terrace,British Columbia
Gilroy,Kevin,Kevin Gilroy,6-0,7/8/1987,"North Bellmore, New York",2011,BU,North Bellmore,New York
Hohmann,Cason,Cason Hohmann,5-9,1/10/1993,"Plymouth, Michigan",2011,BU,Plymouth,Michigan
Megan,Wade,Wade Megan,6-1,7/22/1990,"Canton, New York",2011,BU,Canton,New York
Moscatel,Jake,Jake Moscatel,6-0,4/10/1988,"Lexington, Massachusetts",2011,BU,Lexington,Massachusetts
Nieto,Matt,Matt Nieto,5-11,11/5/1992,"Long Beach, California",2011,BU,Long Beach,California
Rodrigues,Evan,Evan Rodrigues,5-10,7/28/1993,"Etobicoke, Ontario",2011,BU,Etobicoke,Ontario
Ronan,Matt,Matt Ronan,5-11,1/2/1990,"Woburn, Massachusetts",2011,BU,Woburn,Massachusetts
Santana,Ryan,Ryan Santana,6-1,11/22/1988,"Yorba Linda, California",2011,BU,Yorba Linda,California
Millan,Kieran,Kieran Millan,6-0,8/31/1989,"Edmonton, Alberta",2011,BU,Edmonton,Alberta
Moccia,Anthony,Anthony Moccia,5-9,12/23/1990,"Medford, Massachusetts",2011,BU,Medford,Massachusetts
Rollheiser,Grant,Grant Rollheiser,6-4,7/24/1989,"Chilliwack, British Columbia",2011,BU,Chilliwack,British Columbia
Escobedo,Sean,Sean Escobedo,6-0,10/27/1990,"Bayside, New York",2012,BU,Bayside,New York
Grzelcyk,Matt,Matt Grzelcyk,5-9,1/5/1994,"Charlestown, Massachusetts",2012,BU,Charlestown,Massachusetts
MacGregor,Patrick,Patrick MacGregor,6-4,7/12/1990,"Hamden, Connecticut",2012,BU,Hamden,Connecticut
Noonan,Garrett,Garrett Noonan,6-2,1/28/1991,"Norfolk, Massachusetts",2012,BU,Norfolk,Massachusetts
Oksanen,Ahti,Ahti Oksanen,6-3,3/10/1993,"Kirkkonummi, Finland",2012,BU,Kirkkonummi,Finland
Privitera,Alexx,Alexx Privitera,5-11,1/18/1993,"Old Tappan, New Jersey",2012,BU,Old Tappan,New Jersey
Rosen,Ben,Ben Rosen,5-11,1/7/1989,"Syosset, New York",2012,BU,Syosset,New York
Ruikka,Ryan,Ryan Ruikka,6-0,3/31/1988,"Chelsea, Michigan",2012,BU,Chelsea,Michigan
Gill,Sahir,Sahir Gill,5-10,4/21/1992,"Terrace, British Columbia",2012,BU,Terrace,British Columbia
Hohmann,Cason,Cason Hohmann,5-9,1/10/1993,"Plymouth, Michigan",2012,BU,Plymouth,Michigan
Kurker,Sam,Sam Kurker,6-2,4/8/1994,"Reading, Massachusetts",2012,BU,Reading,Massachusetts
Lane,Matt,Matt Lane,5-10,3/15/1994,"Rochester, New York",2012,BU,Rochester,New York
Megan,Wade,Wade Megan,6-1,7/22/1990,"Canton, New York",2012,BU,Canton,New York
Moran,Mike,Mike Moran,6-1,9/7/1991,"Marshfield, Massachusetts",2012,BU,Marshfield,Massachusetts
Moscatel,Jake,Jake Moscatel,6-0,4/10/1988,"Lexington, Massachusetts",2012,BU,Lexington,Massachusetts
Nieto,Matt,Matt Nieto,5-11,11/5/1992,"Long Beach, California",2012,BU,Long Beach,California
O'Regan,Danny,Danny O'Regan,5-10,1/30/1994,"Needham, Massachusetts",2012,BU,Needham,Massachusetts
Rodrigues,Evan,Evan Rodrigues,5-10,7/28/1993,"Etobicoke, Ontario",2012,BU,Etobicoke,Ontario
Ronan,Matt,Matt Ronan,5-11,1/2/1990,"Woburn, Massachusetts",2012,BU,Woburn,Massachusetts
Santana,Ryan,Ryan Santana,6-1,11/22/1988,"Yorba Linda, California",2012,BU,Yorba Linda,California
Maguire,Sean,Sean Maguire,6-2,2/2/1993,"Powell River, British Columbia",2012,BU,Powell River,British Columbia
Moccia,Anthony,Anthony Moccia,5-9,12/23/1990,"Medford, Massachusetts",2012,BU,Medford,Massachusetts
O'Connor,Matt,Matt O'Connor,6-5,2/14/1992,"Toronto, Ontario",2012,BU,Toronto,Ontario
Carrabino,J.D.,J.D. Carrabino,6-6,2/17/1991,"New Canaan, Connecticut",2013,BU,New Canaan,Connecticut
Grzelcyk,Matt,Matt Grzelcyk,5-9,1/5/1994,"Charlestown, Massachusetts",2013,BU,Charlestown,Massachusetts
MacAfee,Dalton,Dalton MacAfee,6-0,7/8/1994,"Needham, Massachusetts",2013,BU,Needham,Massachusetts
MacGregor,Patrick,Patrick MacGregor,6-4,7/12/1990,"Hamden, Connecticut",2013,BU,Hamden,Connecticut
Noonan,Garrett,Garrett Noonan,6-1,1/28/1991,"Norfolk, Massachusetts",2013,BU,Norfolk,Massachusetts
Oksanen,Ahti,Ahti Oksanen,6-3,3/10/1993,"Kirkkonummi, Finland",2013,BU,Kirkkonummi,Finland
Ryan,T.J.,T.J. Ryan,6-0,11/13/1992,"West Newton, Massachusetts",2013,BU,West Newton,Massachusetts
Somerby,Doyle,Doyle Somerby,6-5,7/4/1994,"Marblehead, Massachusetts",2013,BU,Marblehead,Massachusetts
Baillargeon,Robbie,Robbie Baillargeon,6-0,11/26/1993,"Enfield, Connecticut",2013,BU,Enfield,Connecticut
Collier,Brendan,Brendan Collier,5-9,10/8/1993,"Charlestown, Massachusetts",2013,BU,Charlestown,Massachusetts
Duane,Kevin,Kevin Duane,6-5,1/16/1994,"New Canaan, Connecticut",2013,BU,New Canaan,Connecticut
Hohmann,Cason,Cason Hohmann,5-9,1/10/1993,"Plymouth, Michigan",2013,BU,Plymouth,Michigan
Kelley,Tommy,Tommy Kelley,5-10,9/15/1994,"Natick, Massachusetts",2013,BU,Natick,Massachusetts
Lane,Matt,Matt Lane,5-10,3/15/1994,"Rochester, New York",2013,BU,Rochester,New York
Lawrence,Dillon,Dillon Lawrence,6-3,3/22/1995,"Toronto, Ontario",2013,BU,Toronto,Ontario
Moran,Mike,Mike Moran,6-1,9/7/1991,"Marshfield, Massachusetts",2013,BU,Marshfield,Massachusetts
Moscatel,Jake,Jake Moscatel,6-0,4/10/1988,"Lexington, Massachusetts",2013,BU,Lexington,Massachusetts
O'Regan,Danny,Danny O'Regan,5-10,1/30/1994,"Needham, Massachusetts",2013,BU,Needham,Massachusetts
Roberto,Nick,Nick Roberto,5-9,4/4/1994,"Wakefield, Massachusetts",2013,BU,Wakefield,Massachusetts
Rodrigues,Evan,Evan Rodrigues,5-11,7/28/1993,"Etobicoke, Ontario",2013,BU,Etobicoke,Ontario
Ronan,Matt,Matt Ronan,5-11,1/2/1990,"Woburn, Massachusetts",2013,BU,Woburn,Massachusetts
Maguire,Sean,Sean Maguire,6-2,2/2/1993,"Powell River, British Columbia",2013,BU,Powell River,British Columbia
Moccia,Anthony,Anthony Moccia,5-8,12/23/1990,"Medford, Massachusetts",2013,BU,Medford,Massachusetts
O'Connor,Matt,Matt O'Connor,6-6,2/14/1992,"Toronto, Ontario",2013,BU,Toronto,Ontario
Carrabino,J.D.,J.D. Carrabino,6-6,2/17/1991,"New Canaan, Connecticut",2014,BU,New Canaan,Connecticut
Diffley,Brien,Brien Diffley,6-2,7/8/1995,"Burlington, Massachusetts",2014,BU,Burlington,Massachusetts
Fortunato,Brandon,Brandon Fortunato,5-10,6/7/1996,"North Hills, New York",2014,BU,North Hills,New York
Grzelcyk,Matt,Matt Grzelcyk,5-9,1/5/1994,"Charlestown, Massachusetts",2014,BU,Charlestown,Massachusetts
Hickey,Brandon,Brandon Hickey,6-2,4/13/1996,"Leduc, Alberta",2014,BU,Leduc,Alberta
MacLeod,John,John MacLeod,6-1,6/2/1996,"Dracut, Massachusetts",2014,BU,Dracut,Massachusetts
Oksanen,Ahti,Ahti Oksanen,6-3,3/10/1993,"Kirkkonummi, Finland",2014,BU,Kirkkonummi,Finland
Ryan,T.J.,T.J. Ryan,6-0,11/13/1992,"West Newton, Massachusetts",2014,BU,West Newton,Massachusetts
Somerby,Doyle,Doyle Somerby,6-5,7/4/1994,"Marblehead, Massachusetts",2014,BU,Marblehead,Massachusetts
Baillargeon,Robbie,Robbie Baillargeon,6-0,11/26/1993,"Enfield, Connecticut",2014,BU,Enfield,Connecticut
Duane,Kevin,Kevin Duane,6-5,1/16/1994,"New Canaan, Connecticut",2014,BU,New Canaan,Connecticut
Eichel,Jack,Jack Eichel,6-1,10/28/1996,"North Chelmsford, Massachusetts",2014,BU,North Chelmsford,Massachusetts
Greer,A.J.,A.J. Greer,6-3,12/14/1996,"Joliette, Quebec",2014,BU,Joliette,Quebec
Hohmann,Cason,Cason Hohmann,5-9,1/10/1993,"Plymouth, Michigan",2014,BU,Plymouth,Michigan
Kelley,Tommy,Tommy Kelley,5-10,9/15/1994,"Natick, Massachusetts",2014,BU,Natick,Massachusetts
Lane,Matt,Matt Lane,5-10,3/15/1994,"Rochester, New York",2014,BU,Rochester,New York
Lawrence,Dillon,Dillon Lawrence,6-3,3/22/1995,"Toronto, Ontario",2014,BU,Toronto,Ontario
Moran,Mike,Mike Moran,6-1,9/7/1991,"Marshfield, Massachusetts",2014,BU,Marshfield,Massachusetts
O'Regan,Danny,Danny O'Regan,5-10,1/30/1994,"Needham, Massachusetts",2014,BU,Needham,Massachusetts
Olsson,Nikolas,Nikolas Olsson,5-11,6/14/1994,"Escondido, California",2014,BU,Escondido,California
Phelps,Chase,Chase Phelps,6-0,4/26/1996,"Edina, Minnesota",2014,BU,Edina,Minnesota
Piccinich,J.J.,J.J. Piccinich,5-11,6/12/1996,"Paramus, New Jersey",2014,BU,Paramus,New Jersey
Roberto,Nick,Nick Roberto,5-9,4/4/1994,"Wakefield, Massachusetts",2014,BU,Wakefield,Massachusetts
Rodrigues,Evan,Evan Rodrigues,5-11,7/28/1993,"Etobicoke, Ontario",2014,BU,Etobicoke,Ontario
LaCouvee,Connor,Connor LaCouvee,6-0,5/24/1994,"Qualicum Beach, British Columbia",2014,BU,Qualicum Beach,British Columbia
Moccia,Anthony,Anthony Moccia,5-8,12/23/1990,"Medford, Massachusetts",2014,BU,Medford,Massachusetts
O'Connor,Matt,Matt O'Connor,6-6,2/14/1992,"Toronto, Ontario",2014,BU,Toronto,Ontario
Diffley,Brien,Brien Diffley,6-2,7/8/1995,"Burlington, Massachusetts",2015,BU,Burlington,Massachusetts
Fortunato,Brandon,Brandon Fortunato,5-10,6/7/1996,"North Hills, New York",2015,BU,North Hills,New York
Grzelcyk,Matt,Matt Grzelcyk,5-10,1/5/1994,"Charlestown, Massachusetts",2015,BU,Charlestown,Massachusetts
Hickey,Brandon,Brandon Hickey,6-2,4/13/1996,"Leduc, Alberta",2015,BU,Leduc,Alberta
MacLeod,John,John MacLeod,6-1,6/2/1996,"Dracut, Massachusetts",2015,BU,Dracut,Massachusetts
McAvoy,Charlie,Charlie McAvoy,6-1,12/21/1997,"Long Beach, New York",2015,BU,Long Beach,New York
Somerby,Doyle,Doyle Somerby,6-5,7/4/1994,"Marblehead, Massachusetts",2015,BU,Marblehead,Massachusetts
Switzer,Shane,Shane Switzer,6-2,11/13/1995,"Bloomfield Hills, Michigan",2015,BU,Bloomfield Hills,Michigan
Andrén,Oskar,Oskar Andrén,6-1,3/29/1995,"Stockholm, Sweden",2015,BU,Stockholm,Sweden
Baillargeon,Robbie,Robbie Baillargeon,6-0,11/26/1993,"Enfield, Connecticut",2015,BU,Enfield,Connecticut
Carpenter,Bobo,Bobo Carpenter,5-11,8/16/1996,"North Reading, Massachusetts",2015,BU,North Reading,Massachusetts
Cloonan,Ryan,Ryan Cloonan,5-10,7/20/1995,"East Longmeadow, Massachusetts",2015,BU,East Longmeadow,Massachusetts
Forsbacka Karlsson,Jakob,Jakob Forsbacka Karlsson,6-1,10/31/1996,"Stockholm, Sweden",2015,BU,Stockholm,Sweden
Greenway,Jordan,Jordan Greenway,6-5,2/12/1997,"Canton, New York",2015,BU,Canton,New York
Kelley,Tommy,Tommy Kelley,5-10,9/15/1994,"Natick, Massachusetts",2015,BU,Natick,Massachusetts
Lane,Matt,Matt Lane,5-10,3/15/1994,"Rochester, New York",2015,BU,Rochester,New York
Lawrence,Dillon,Dillon Lawrence,6-3,3/22/1995,"Toronto, Ontario",2015,BU,Toronto,Ontario
Moran,Mike,Mike Moran,6-1,9/7/1991,"Marshfield, Massachusetts",2015,BU,Marshfield,Massachusetts
O'Regan,Danny,Danny O'Regan,5-10,1/30/1994,"Needham, Massachusetts",2015,BU,Needham,Massachusetts
Oksanen,Ahti,Ahti Oksanen,6-3,3/10/1993,"Kirkkonummi, Finland",2015,BU,Kirkkonummi,Finland
Olsson,Nikolas,Nikolas Olsson,6-0,6/14/1994,"Escondido, California",2015,BU,Escondido,California
Phelps,Chase,Chase Phelps,6-1,4/26/1996,"Edina, Minnesota",2015,BU,Edina,Minnesota
Roberto,Nick,Nick Roberto,5-9,4/4/1994,"Wakefield, Massachusetts",2015,BU,Wakefield,Massachusetts
Udahl,Erik,Erik Udahl,5-7,3/31/1996,"East Walpole, Massachusetts",2015,BU,East Walpole,Massachusetts
LaCouvee,Connor,Connor LaCouvee,6-0,5/24/1994,"Qualicum Beach, British Columbia",2015,BU,Qualicum Beach,British Columbia
Maguire,Sean,Sean Maguire,6-2,2/2/1993,"Powell River, British Columbia",2015,BU,Powell River,British Columbia
Prawdzik,Max,Max Prawdzik,6-3,2/22/1997,"Andover, Massachusetts",2015,BU,Andover,Massachusetts
Diffley,Brien,Brien Diffley,6-2,7/8/1995,"Burlington, Massachusetts",2016,BU,Burlington,Massachusetts
Fabbro,Dante,Dante Fabbro,6-1,6/20/1998,"New Westminster, British Columbia",2016,BU,New Westminster,British Columbia
Hickey,Brandon,Brandon Hickey,6-2,4/13/1996,"Leduc, Alberta",2016,BU,Leduc,Alberta
Krys,Chad,Chad Krys,6-0,4/10/1998,"Ridgefield, Connecticut",2016,BU,Ridgefield,Connecticut
MacLeod,John,John MacLeod,6-1,6/2/1996,"Dracut, Massachusetts",2016,BU,Dracut,Massachusetts
McAvoy,Charlie,Charlie McAvoy,6-1,12/21/1997,"Long Beach, New York",2016,BU,Long Beach,New York
Somerby,Doyle,Doyle Somerby,6-5,7/4/1994,"Marblehead, Massachusetts",2016,BU,Marblehead,Massachusetts
Switzer,Shane,Shane Switzer,6-2,11/13/1995,"Bloomfield Hills, Michigan",2016,BU,Bloomfield Hills,Michigan
Andrén,Oskar,Oskar Andrén,6-1,3/29/1995,"Stockholm, Sweden",2016,BU,Stockholm,Sweden
Bellows,Kieffer,Kieffer Bellows,6-1,6/10/1998,"Edina, Minnesota",2016,BU,Edina,Minnesota
Carpenter,Bobo,Bobo Carpenter,5-11,8/16/1996,"North Reading, Massachusetts",2016,BU,North Reading,Massachusetts
Chabot,Gabriel,Gabriel Chabot,5-8,2/14/1998,"Quebec City, Quebec",2016,BU,Quebec City,Quebec
Cloonan,Ryan,Ryan Cloonan,5-10,7/20/1995,"East Longmeadow, Massachusetts",2016,BU,East Longmeadow,Massachusetts
Curry,Patrick,Patrick Curry,5-11,1/9/1996,"Schaumburg, Illinois",2016,BU,Schaumburg,Illinois
Forsbacka Karlsson,Jakob,Jakob Forsbacka Karlsson,6-1,10/31/1996,"Stockholm, Sweden",2016,BU,Stockholm,Sweden
Greenway,Jordan,Jordan Greenway,6-5,2/12/1997,"Canton, New York",2016,BU,Canton,New York
Harper,Patrick,Patrick Harper,5-9,7/29/1998,"New Canaan, Connecticut",2016,BU,New Canaan,Connecticut
Keller,Clayton,Clayton Keller,5-10,7/29/1998,"Swansea, Illinois",2016,BU,Swansea,Illinois
Kelley,Tommy,Tommy Kelley,5-10,9/15/1994,"Natick, Massachusetts",2016,BU,Natick,Massachusetts
McDermott,Johnny,Johnny McDermott,6-2,5/15/1997,"Darien, Connecticut",2016,BU,Darien,Connecticut
Olsson,Nikolas,Nikolas Olsson,6-0,6/14/1994,"Escondido, California",2016,BU,Escondido,California
Phelps,Chase,Chase Phelps,6-1,4/26/1996,"Edina, Minnesota",2016,BU,Edina,Minnesota
Roberto,Nick,Nick Roberto,5-9,4/4/1994,"Wakefield, Massachusetts",2016,BU,Wakefield,Massachusetts
LaCouvee,Connor,Connor LaCouvee,6-0,5/24/1994,"Qualicum Beach, British Columbia",2016,BU,Qualicum Beach,British Columbia
Lynch,Nico,Nico Lynch,0,5/9/1998,"Barnstable, Massachusetts",2016,BU,Barnstable,Massachusetts
Oettinger,Jake,Jake Oettinger,6-4,12/18/1998,"Lakeville, Minnesota",2016,BU,Lakeville,Minnesota
Crotty,Cam,Cam Crotty,6-2,5/5/1999,"Greely, Ontario",2017,BU,Greely,Ontario
Diffley,Brien,Brien Diffley,6-2,7/8/1995,"Burlington, Massachusetts",2017,BU,Burlington,Massachusetts
Fabbro,Dante,Dante Fabbro,6-1,6/20/1998,"New Westminster, British Columbia",2017,BU,New Westminster,British Columbia
Farrance,David,David Farrance,5-11,6/23/1999,"Victor, New York",2017,BU,Victor,New York
Hickey,Brandon,Brandon Hickey,6-2,4/13/1996,"Leduc, Alberta",2017,BU,Leduc,Alberta
Kotkansalo,Kasper,Kasper Kotkansalo,6-2,11/18/1998,"Espoo, Finland",2017,BU,Espoo,Finland
Krys,Chad,Chad Krys,6-0,4/10/1998,"Ridgefield, Connecticut",2017,BU,Ridgefield,Connecticut
MacLeod,John,John MacLeod,6-1,6/2/1996,"Dracut, Massachusetts",2017,BU,Dracut,Massachusetts
Switzer,Shane,Shane Switzer,6-2,11/13/1995,"Bloomfield Hills, Michigan",2017,BU,Bloomfield Hills,Michigan
Amonte,Ty,Ty Amonte,5-11,1/11/1998,"Norwell, Massachusetts",2017,BU,Norwell,Massachusetts
Bowers,Shane,Shane Bowers,6-2,7/30/1999,"Halifax, Nova Scotia",2017,BU,Halifax,Nova Scotia
